DocText,DocDate,clean_content,emotions
400 private jets too the climate change summit amazing,2021-11-02 23:23:58,private jets climate change summit amazing,neutral
“Covid” restrictions are so much like “Climate Change” restrictions.. WEIRD HUH…,2021-11-02 23:22:22,Covid restrictions much like Climate Change restrictions WEIRD,neutral
"Thank you to everybody who made this a successful #bookbirthday for #AHotMess. I always said five books was when I'd feel like a true author, and thank you to all who helped me hit that goal. #amwriting #newbook #climatechange",2021-11-02 23:09:11,Thank everybody made this successful bookbirthday AHotMess always said five books when feel like true author thank helped that goal amwriting newbook climatechange,love
anti-climate change **** deserve love and respect,2021-11-02 22:27:22,anti climate change deserve love respect,love
Very alarming ang effects ng climate change especially sa third world countries.,2021-11-02 22:26:23,Very alarming effects climate change especially third world countries,neutral
"#tonightvmtv the 1% looney left are an amazing bunch, first ""experts"" on economics, then ""experts"" on virology and now ""experts"" on climate change",2021-11-02 22:16:05,tonightvmtv looney left amazing bunch first experts economics then experts virology experts climate change,neutral
So.. Morrison goes to Climate Change Forum with:  A pamphlet; an entourage; speaks to an empty room; insults the French and American Presidents; leaks communiqués; leaves Australian without any submarine contracts; makes best friends with dictators and more…good one,2021-11-02 22:02:33,Morrison goes Climate Change Forum with pamphlet entourage speaks empty room insults French American Presidents leaks communiqués leaves Australian without submarine contracts makes best friends with dictators more good,love
"If all the pro-vaccine mandate people love mandates so much, what will their response be when the government wants to mandate sterilization to help keep us safe from climate change?  IT'S FOR THE GOOD OF OTHER PEOPLE.",2021-11-02 21:48:38,vaccine mandate people love mandates much what will their response when government wants mandate sterilization help keep safe from climate change GOOD OTHER PEOPLE,love
Climate change... incredible 10yrs on and still Doing a great job of stopping this government focusing and fixing other broken things that need attention within this country,2021-11-02 21:36:12,Climate change incredible 10yrs still Doing great stopping this government focusing fixing other broken things that need attention within this country,worry
What is the main goal towards climate change? To be the best green country/city or find the best green solution for this Planet? Is being best in class the main goal???? #ClimateAction #ClimateEmergency @jonasgahrstore,2021-11-02 21:25:19,What main goal towards climate change best green country city find best green solution this Planet being best class main goal ClimateAction ClimateEmergency jonasgahrstore,happiness
RIP Geert. Thank you for all your contributions to climate change science. @gjvoldenborgh,2021-11-02 21:03:15,Geert Thank your contributions climate change science gjvoldenborgh,happiness
"Trevi fountain coin toss for good luck with climate change/Elijah Wood sorry for racist NFT exchange/Well, there it is again, that funny feeling",2021-11-02 20:38:55,Trevi fountain coin toss good luck with climate change Elijah Wood sorry racist exchange Well there again that funny feeling,worry
"#Tonight @ITV Doing a Boris Propaganda job on #ClimateChange Just popping into your head the expectation for ANOTHER Tory Tax, this time on our gas boilers. More expensive heating. More cost for taxpayers. For people like you &amp; me. *Reminder UK Global emissions of CO2 = 1%",2021-11-02 20:19:27,Tonight Doing Boris Propaganda ClimateChange Just popping into your head expectation ANOTHER Tory this time boilers More expensive heating More cost taxpayers people like Reminder Global emissions,worry
"Search ""uninhabitable hell"" on Twitter &amp; enjoy the unhinged shrieks of the delusional climate change zombie cult. Thank me later. 🤡🤣🤣",2021-11-02 20:07:31,Search uninhabitable hell Twitter enjoy unhinged shrieks delusional climate change zombie cult Thank later,happiness
"On this election day let's reflect how much better off we are as a Nation compared to a year ago. We are addressing Climate change, over 100 countries are on board. Thanks Joe, you're truly a great leader!",2021-11-02 20:04:38,this election reflect much better Nation compared year addressing Climate change over countries board Thanks truly great leader,happiness
Anyone else feel like climate change has been rammed down their throat on television this evening?,2021-11-02 19:58:54,Anyone else feel like climate change been rammed down their throat television this evening,worry
Canadian news is doing a better job covering the affects of climate change than the US.,2021-11-02 19:41:16,Canadian news doing better covering affects climate change than,neutral
Really enjoying the @NIH Climate Change &amp; Health Webinar Series and @PennMedicine's @Eugenia_South amazing presentation “Climate Resilience and Health Equity in Black Neighborhoods: The Case for Urban Nature.” Happy I can tune in! #urbanhealth,2021-11-02 19:27:30,Really enjoying Climate Change Health Webinar Series PennMedicine Eugenia_South amazing presentation Climate Resilience Health Equity Black Neighborhoods Case Urban Nature Happy tune urbanhealth,surprise
Incredible that the African and South American nations Namibia and Guyana are clearly leading the way with climate change where as the richest democracies do absolutely naff all. #COP26,2021-11-02 19:18:37,Incredible that African South American nations Namibia Guyana clearly leading with climate change where richest democracies absolutely naff COP26,neutral
Climate change is so real Crock Odumbass and many others keep buying ocean front mansions or getaways.... Lol,2021-11-02 19:17:52,Climate change real Crock Odumbass many others keep buying ocean front mansions getaways,neutral
Good that #C4News recognises that the rainforest's best defenders are those that live there and depend on it for their survival #COP26 #climatechange,2021-11-02 19:14:47,Good that C4News recognises that rainforest best defenders those that live there depend their survival COP26 climatechange,happiness
The most powerful governments are best at keeping  the ships running and the lights on.   To execute a 30 year plan and keep the planet alive we need the personal realization that climate action is nothing more than a matter of self preservation.   Change my mind.,2021-11-02 19:12:49,most powerful governments best keeping ships running lights execute year plan keep planet alive need personal realization that climate action nothing more than matter self preservation Change mind,love
"I find it absolutely hilarious that a teenager,@GretaThunberg drives so many “big” people crazy with her climate change stance. It’s crazy hilarious.",2021-11-02 19:09:54,find absolutely hilarious that teenager GretaThunberg drives many people crazy with climate change stance crazy hilarious,love
